,id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction_v2
86775,88028,Female,Loyal Customer,45.0,Business travel,Business,2948,1,1,1,1,2.0,5.0,5,4,4,4,4.0,3,4,5,97,100.0,0
117017,118270,Female,disloyal Customer,41.0,Business travel,Business,602,5,5,5,5,2.0,5.0,2,2,3,3,5.0,3,5,2,30,35.0,0
3888,3979,Female,Loyal Customer,24.0,Business travel,Eco,340,3,3,4,3,3.0,3.0,4,3,3,1,4.0,3,3,3,0,10.0,1
91882,93135,Female,Loyal Customer,53.0,Business travel,Business,1183,2,2,2,2,3.0,5.0,4,5,5,5,5.0,4,5,5,0,0.0,0
84523,85776,Female,Loyal Customer,45.0,Business travel,Business,2689,3,3,3,3,5.0,5.0,5,2,2,2,2.0,5,2,3,0,0.0,0
116955,118208,Male,Loyal Customer,11.0,Personal Travel,Eco,1444,1,2,1,4,4.0,1.0,4,4,3,1,4.0,3,3,4,0,0.0,1
91534,92787,Male,Loyal Customer,56.0,Business travel,Business,1671,1,1,1,1,3.0,4.0,5,3,3,2,3.0,4,3,5,0,0.0,0
118994,120247,Female,Loyal Customer,53.0,Personal Travel,Eco,1303,4,3,4,4,5.0,4.0,3,2,2,4,2.0,1,2,2,0,15.0,1
36266,36856,Male,Loyal Customer,37.0,Business travel,Business,3110,4,4,2,4,2.0,3.0,3,4,4,4,4.0,2,4,5,5,22.0,0
44825,45579,Female,Loyal Customer,12.0,Personal Travel,Business,260,3,4,0,3,4.0,0.0,4,4,2,4,4.0,2,3,4,38,20.0,1
43203,43870,Female,disloyal Customer,39.0,Business travel,Eco,114,3,3,3,3,4.0,3.0,5,4,3,2,4.0,4,5,4,6,0.0,1
4463,4555,Female,Loyal Customer,42.0,Business travel,Business,3680,2,2,2,2,3.0,4.0,4,4,4,4,4.0,4,4,3,0,0.0,0
45516,46270,Female,Loyal Customer,60.0,Personal Travel,Eco,679,2,4,2,1,2.0,5.0,4,3,3,2,3.0,3,3,5,0,0.0,1
80629,81879,Female,Loyal Customer,31.0,Personal Travel,Business,680,3,5,3,2,4.0,3.0,4,4,3,4,4.0,5,4,4,0,0.0,1
57728,58974,Male,disloyal Customer,37.0,Business travel,Business,1723,1,1,1,1,3.0,1.0,3,3,5,3,3.0,4,5,3,23,5.0,1
100263,101516,Female,Loyal Customer,65.0,Business travel,Business,345,0,0,0,2,2.0,5.0,2,2,2,2,2.0,2,2,2,0,0.0,0
126307,127611,Male,disloyal Customer,29.0,Business travel,Business,1488,5,5,5,4,4.0,5.0,4,4,4,3,4.0,3,4,4,0,0.0,0
109075,110328,Female,Loyal Customer,41.0,Business travel,Business,1697,2,4,2,2,5.0,4.0,5,5,5,5,5.0,3,5,4,54,51.0,0
2506,2597,Male,Loyal Customer,27.0,Personal Travel,Eco,280,1,2,1,3,3.0,1.0,1,3,4,5,2.0,4,2,3,11,5.0,1
17252,17426,Male,disloyal Customer,36.0,Business travel,Business,351,4,4,4,3,5.0,4.0,5,5,4,2,4.0,1,4,5,0,0.0,1
16865,17039,Female,Loyal Customer,25.0,Personal Travel,Business,1134,3,4,2,3,2.0,2.0,2,2,5,2,4.0,5,5,2,77,57.0,1
88549,89802,Female,Loyal Customer,41.0,Business travel,Business,3880,4,4,4,4,2.0,5.0,5,5,5,5,5.0,5,5,4,0,0.0,0
28120,28383,Male,Loyal Customer,73.0,Business travel,Business,3686,1,4,4,4,3.0,4.0,3,1,1,1,1.0,1,1,1,0,3.0,1
112195,113448,Male,Loyal Customer,58.0,Business travel,Business,3050,4,4,4,4,4.0,5.0,5,2,2,2,2.0,4,2,3,64,62.0,0
68758,70004,Male,Loyal Customer,48.0,Personal Travel,Eco,236,1,4,0,2,3.0,0.0,2,3,5,5,4.0,4,4,3,19,38.0,1
113832,115085,Male,disloyal Customer,16.0,Business travel,Eco,362,2,4,2,4,3.0,2.0,2,3,4,5,4.0,3,3,3,16,11.0,1
34850,35440,Female,Loyal Customer,17.0,Personal Travel,Eco,1056,3,5,3,2,4.0,3.0,4,4,4,2,4.0,5,5,4,0,0.0,1
18888,19070,Male,disloyal Customer,24.0,Business travel,Eco,569,2,2,2,4,3.0,2.0,3,3,4,1,3.0,2,4,3,0,0.0,1
15227,15401,Female,disloyal Customer,42.0,Business travel,Eco,377,3,4,4,5,1.0,4.0,1,1,1,1,1.0,4,5,1,0,0.0,1
108826,110079,Female,Loyal Customer,16.0,Personal Travel,Business,1072,4,5,4,3,2.0,4.0,2,2,5,4,4.0,5,4,2,31,25.0,1
11269,11426,Female,Loyal Customer,32.0,Business travel,Eco Plus,247,2,2,2,2,2.0,3.0,2,2,3,1,3.0,4,4,2,29,38.0,1
127126,128430,Female,Loyal Customer,69.0,Business travel,Business,338,2,3,3,3,4.0,3.0,4,2,2,3,2.0,3,2,3,0,14.0,1
90245,91498,Female,Loyal Customer,55.0,Personal Travel,Eco,391,2,5,4,1,3.0,1.0,3,4,4,4,4.0,1,4,5,0,4.0,1
70555,71801,Female,Loyal Customer,68.0,Business travel,Business,1723,1,1,1,1,3.0,2.0,4,1,1,1,1.0,3,1,3,1,0.0,1
4773,4866,Male,Loyal Customer,16.0,Personal Travel,Eco,408,3,5,3,3,1.0,3.0,1,1,3,3,5.0,5,4,1,0,12.0,1
7287,7391,Male,Loyal Customer,40.0,Business travel,Business,2499,3,3,3,3,3.0,5.0,5,4,4,4,4.0,5,4,5,0,0.0,0
42038,42703,Female,Loyal Customer,16.0,Personal Travel,Eco,627,2,3,2,4,5.0,2.0,5,5,1,5,4.0,2,4,5,3,24.0,1
45012,45766,Female,Loyal Customer,35.0,Business travel,Business,3983,4,4,4,4,2.0,2.0,3,5,5,5,5.0,3,5,1,0,10.0,0
22411,22656,Male,Loyal Customer,10.0,Personal Travel,Eco Plus,300,2,3,2,4,5.0,2.0,5,5,4,3,2.0,1,3,5,33,32.0,1
58633,59879,Male,Loyal Customer,52.0,Business travel,Business,1985,5,5,4,5,3.0,5.0,4,4,4,4,4.0,5,4,3,1,0.0,0
87115,88368,Female,disloyal Customer,27.0,Business travel,Eco,594,1,2,1,2,2.0,1.0,2,2,1,3,2.0,3,3,2,0,0.0,1
73383,74629,Female,Loyal Customer,39.0,Business travel,Business,3894,2,2,5,2,1.0,5.0,3,5,5,5,5.0,1,5,5,0,7.0,0
22130,22346,Female,Loyal Customer,,Business travel,Business,2545,1,1,1,1,3.0,1.0,5,5,5,5,5.0,1,5,2,13,13.0,0
104312,105565,Male,Loyal Customer,44.0,Business travel,Business,3759,1,1,1,1,4.0,5.0,4,4,4,4,4.0,4,4,5,0,0.0,0
66126,67372,Male,Loyal Customer,57.0,Business travel,Business,769,5,5,3,5,5.0,4.0,5,4,4,4,4.0,5,4,5,0,3.0,0
2249,2340,Female,Loyal Customer,59.0,Business travel,Business,2721,3,3,3,3,2.0,4.0,4,5,5,5,5.0,5,5,3,15,68.0,0
111805,113058,Female,disloyal Customer,28.0,Business travel,Eco,569,2,1,2,2,5.0,2.0,5,5,2,5,3.0,2,2,5,0,0.0,1
20824,21029,Female,Loyal Customer,34.0,Business travel,Business,106,4,4,4,4,3.0,5.0,1,4,4,4,5.0,4,4,5,0,3.0,0
110838,112091,Male,disloyal Customer,22.0,Business travel,Eco,1062,2,2,2,4,3.0,2.0,3,3,4,4,4.0,3,4,3,66,39.0,1
104016,105269,Male,Loyal Customer,61.0,Personal Travel,Eco,2106,1,2,1,2,1.0,1.0,1,1,4,3,1.0,3,2,1,0,0.0,1
82825,84078,Male,Loyal Customer,65.0,Business travel,Eco,357,4,4,4,4,4.0,4.0,4,4,4,3,4.0,1,4,4,0,0.0,1
126916,128220,Female,Loyal Customer,25.0,Business travel,Business,2444,2,5,5,5,2.0,3.0,2,2,4,2,4.0,1,3,2,0,0.0,1
104813,106066,Female,Loyal Customer,51.0,Business travel,Business,2807,0,0,0,5,2.0,4.0,4,3,3,2,2.0,3,3,3,10,3.0,0
116973,118226,Female,Loyal Customer,57.0,Personal Travel,Business,1587,2,4,2,5,5.0,5.0,5,4,4,2,4.0,3,4,5,0,13.0,1
94606,95859,Female,Loyal Customer,51.0,Business travel,Business,2623,2,2,2,2,5.0,5.0,4,4,4,4,4.0,3,4,5,25,25.0,0
31313,31630,Female,Loyal Customer,48.0,Business travel,Business,3642,1,1,1,1,3.0,1.0,5,4,4,4,4.0,5,4,2,0,0.0,0
120564,121838,Male,disloyal Customer,26.0,Business travel,Business,449,2,0,2,4,1.0,2.0,1,1,4,4,4.0,3,5,1,1,0.0,1
97492,98745,Male,Loyal Customer,13.0,Personal Travel,Eco,1558,2,4,2,3,5.0,2.0,5,5,5,5,4.0,3,5,5,0,0.0,1
33866,34456,Female,Loyal Customer,25.0,Personal Travel,Eco,228,4,5,4,1,1.0,4.0,3,1,3,2,4.0,5,5,1,0,0.0,1
95698,96951,Male,Loyal Customer,45.0,Business travel,Business,775,5,5,5,5,4.0,4.0,5,4,4,4,4.0,5,4,5,0,8.0,0
48881,49836,Female,Loyal Customer,47.0,Business travel,Eco,156,5,5,5,5,3.0,4.0,4,4,4,5,4.0,4,4,2,0,0.0,0
85449,86702,Male,Loyal Customer,47.0,Business travel,Business,1747,1,1,1,1,2.0,5.0,5,3,3,3,3.0,4,3,5,0,0.0,0
84651,85904,Male,disloyal Customer,22.0,Business travel,Business,761,4,0,5,4,5.0,5.0,5,5,5,5,4.0,3,5,5,10,8.0,0
93498,94751,Female,Loyal Customer,52.0,Business travel,Eco,239,2,4,4,4,2.0,3.0,3,2,2,2,2.0,1,2,1,14,12.0,1
95639,96892,Female,Loyal Customer,54.0,Personal Travel,Eco,957,1,4,1,2,5.0,5.0,5,3,3,1,3.0,4,3,5,24,30.0,1
127024,128328,Female,Loyal Customer,41.0,Business travel,Business,2951,2,2,2,2,2.0,4.0,4,2,2,2,2.0,5,2,4,95,95.0,0
109517,110770,Female,disloyal Customer,50.0,Business travel,Business,997,4,4,4,3,1.0,4.0,1,1,3,3,5.0,3,4,1,0,0.0,1
117939,119192,Female,Loyal Customer,47.0,Business travel,Business,2254,5,5,5,5,3.0,5.0,5,5,5,5,5.0,3,5,4,0,0.0,0
13204,13361,Male,disloyal Customer,36.0,Business travel,Eco,546,2,1,2,3,1.0,2.0,1,1,1,3,3.0,2,4,1,0,0.0,1
90160,91413,Male,Loyal Customer,48.0,Business travel,Business,1050,5,5,4,5,4.0,5.0,5,4,4,4,4.0,3,4,4,0,0.0,0
81466,82719,Female,Loyal Customer,62.0,Personal Travel,Eco,632,4,4,4,2,2.0,4.0,5,2,2,4,2.0,3,2,4,0,0.0,1
118284,119537,Female,Loyal Customer,52.0,Personal Travel,Eco,814,4,4,4,3,2.0,5.0,5,2,2,4,2.0,5,2,5,0,0.0,1
47263,48077,Male,disloyal Customer,41.0,Business travel,Business,173,4,4,4,4,5.0,4.0,5,5,4,5,3.0,4,4,5,61,62.0,1
22846,23091,Male,Loyal Customer,45.0,Personal Travel,Eco,864,5,5,5,1,1.0,5.0,1,1,3,4,4.0,5,5,1,0,0.0,0
104819,106072,Male,Loyal Customer,32.0,Business travel,Business,302,1,1,1,1,4.0,4.0,4,4,5,4,4.0,5,4,4,21,6.0,0
110049,111302,Male,disloyal Customer,24.0,Business travel,Eco,283,3,0,3,4,1.0,3.0,1,1,3,5,4.0,3,5,1,29,33.0,1
84487,85740,Male,Loyal Customer,54.0,Business travel,Business,666,5,5,5,5,5.0,4.0,5,4,4,4,4.0,4,4,3,0,0.0,0
58124,59370,Male,Loyal Customer,31.0,Business travel,Business,2556,3,3,3,3,5.0,5.0,5,5,5,2,5.0,3,5,5,0,0.0,0
67034,68280,Male,Loyal Customer,43.0,Personal Travel,Eco Plus,631,2,4,2,5,2.0,1.0,1,3,5,5,5.0,1,4,1,381,353.0,1
82103,83356,Female,Loyal Customer,58.0,Business travel,Business,3677,1,1,1,1,4.0,4.0,5,5,5,5,5.0,4,5,4,0,4.0,0
35973,36563,Male,Loyal Customer,32.0,Business travel,Eco,1237,5,2,5,2,5.0,5.0,5,5,1,4,5.0,2,4,5,25,124.0,0
26789,27052,Male,Loyal Customer,30.0,Business travel,Business,1489,2,2,4,2,5.0,5.0,5,5,2,5,5.0,3,3,5,0,0.0,0
83540,84793,Female,Loyal Customer,56.0,Business travel,Business,1999,3,3,3,3,3.0,4.0,5,4,4,4,4.0,5,4,4,0,0.0,0
24808,25071,Male,Loyal Customer,50.0,Business travel,Business,3309,2,2,2,2,3.0,4.0,4,5,5,5,5.0,4,5,5,35,33.0,0
79970,81220,Female,Loyal Customer,16.0,Personal Travel,Eco,1426,1,2,1,3,5.0,1.0,5,5,4,3,2.0,4,4,5,0,0.0,1
76487,77733,Female,Loyal Customer,59.0,Business travel,Business,731,3,5,5,5,5.0,4.0,3,3,3,3,3.0,1,3,1,17,1.0,1
95326,96579,Male,Loyal Customer,35.0,Personal Travel,Eco,333,1,4,1,4,2.0,1.0,2,2,3,4,4.0,3,4,2,9,0.0,1
59998,61244,Male,disloyal Customer,43.0,Business travel,Eco,567,1,0,1,4,5.0,1.0,5,5,4,2,2.0,3,5,5,0,1.0,1
62467,63713,Female,Loyal Customer,46.0,Business travel,Business,1660,3,3,3,3,2.0,5.0,5,2,2,2,2.0,4,2,5,0,0.0,0
23191,23436,Male,Loyal Customer,52.0,Business travel,Business,516,2,1,2,2,1.0,2.0,3,2,2,2,2.0,4,2,4,104,94.0,0
118391,119644,Female,disloyal Customer,37.0,Business travel,Business,507,3,4,4,4,4.0,4.0,4,4,5,4,5.0,3,4,4,0,0.0,1
4305,4397,Male,Loyal Customer,39.0,Personal Travel,Eco,618,4,5,4,2,2.0,4.0,2,2,4,3,4.0,3,5,2,0,0.0,1
70681,71927,Female,disloyal Customer,20.0,Business travel,Eco,921,2,2,2,3,5.0,2.0,5,5,3,3,4.0,3,5,5,4,21.0,1
102194,103447,Female,Loyal Customer,24.0,Business travel,Eco,393,4,4,4,4,4.0,4.0,2,4,2,3,3.0,2,3,4,0,0.0,1
12105,12262,Female,Loyal Customer,56.0,Business travel,Eco,201,5,5,5,5,5.0,2.0,2,5,5,5,5.0,4,5,1,2,0.0,0
46429,47242,Male,Loyal Customer,46.0,Business travel,Business,590,4,4,4,4,4.0,4.0,5,4,4,4,4.0,4,4,3,0,2.0,0
68647,69893,Female,Loyal Customer,42.0,Personal Travel,Business,1671,2,1,2,4,5.0,4.0,4,2,2,2,2.0,4,2,1,39,40.0,1
52480,53726,Female,Loyal Customer,20.0,Personal Travel,Eco,1208,3,5,3,4,3.0,3.0,3,3,1,4,3.0,3,5,3,0,0.0,1
93212,94465,Male,Loyal Customer,40.0,Business travel,Eco,562,4,5,5,5,4.0,4.0,4,4,1,5,3.0,4,3,4,0,0.0,1
117673,118926,Female,Loyal Customer,42.0,Business travel,Business,1874,4,4,4,4,4.0,4.0,5,2,2,2,2.0,5,2,5,20,30.0,0
90312,91565,Female,Loyal Customer,16.0,Personal Travel,Eco,680,1,5,1,4,5.0,1.0,5,5,3,2,5.0,3,4,5,0,3.0,1
113490,114743,Male,disloyal Customer,23.0,Business travel,Business,480,4,3,5,3,1.0,5.0,1,1,4,2,4.0,5,5,1,0,6.0,0
85890,87143,Male,Loyal Customer,55.0,Business travel,Eco Plus,640,3,1,1,1,3.0,3.0,3,3,1,5,4.0,2,3,3,0,0.0,1
38211,38801,Female,Loyal Customer,67.0,Personal Travel,Eco,354,3,4,3,1,5.0,4.0,4,1,1,3,1.0,4,1,3,0,0.0,1
73178,74424,Female,Loyal Customer,51.0,Business travel,Business,1660,1,1,1,1,5.0,4.0,4,5,5,5,5.0,5,5,5,17,9.0,0
50260,51506,Male,disloyal Customer,27.0,Business travel,Eco,451,3,0,3,3,1.0,3.0,1,1,2,4,4.0,4,3,1,0,0.0,1
110332,111585,Male,Loyal Customer,52.0,Personal Travel,Eco,359,3,4,3,3,3.0,3.0,3,3,5,4,5.0,3,5,3,7,0.0,1
83321,84574,Male,Loyal Customer,64.0,Personal Travel,Eco Plus,2486,3,4,3,3,1.0,3.0,1,1,2,3,4.0,3,3,1,0,5.0,1
104405,105658,Male,Loyal Customer,51.0,Business travel,Business,919,2,2,2,2,5.0,5.0,5,4,4,3,4.0,4,4,3,13,5.0,0
104400,105653,Female,Loyal Customer,51.0,Business travel,Business,1803,3,3,3,3,2.0,5.0,4,5,5,5,5.0,4,5,3,50,24.0,0
29858,30166,Female,Loyal Customer,63.0,Personal Travel,Eco,183,3,4,3,2,5.0,1.0,4,2,2,3,2.0,2,2,2,1,11.0,1
63890,65136,Female,Loyal Customer,7.0,Personal Travel,Eco,469,3,3,3,4,4.0,3.0,4,4,4,2,2.0,3,1,4,14,11.0,1
98889,100142,Female,Loyal Customer,41.0,Business travel,Business,725,1,1,1,1,4.0,4.0,4,4,4,4,4.0,5,4,5,12,0.0,0
3533,3624,Female,Loyal Customer,42.0,Personal Travel,Business,427,3,3,3,3,4.0,2.0,4,5,5,3,5.0,3,5,3,0,0.0,1
1085,1157,Male,Loyal Customer,26.0,Personal Travel,Eco,158,3,5,3,1,2.0,3.0,1,2,3,2,4.0,4,5,2,8,1.0,1
47284,48098,Male,Loyal Customer,46.0,Business travel,Eco,192,5,1,3,3,5.0,5.0,5,5,1,4,5.0,2,3,5,0,4.0,0
20475,20680,Male,Loyal Customer,42.0,Personal Travel,Eco,552,4,0,4,1,1.0,4.0,1,1,5,2,5.0,3,5,1,42,23.0,0
124215,125519,Female,disloyal Customer,38.0,Business travel,Business,226,4,4,4,2,3.0,4.0,3,3,4,2,5.0,4,5,3,0,0.0,1
113566,114819,Male,Loyal Customer,52.0,Business travel,Business,362,3,3,3,3,4.0,4.0,5,4,4,4,4.0,4,4,5,14,15.0,0
128309,129613,Female,Loyal Customer,44.0,Business travel,Business,2108,1,2,2,2,5.0,4.0,3,1,1,1,1.0,2,1,1,2,0.0,1
101130,102383,Male,Loyal Customer,32.0,Business travel,Business,1985,4,1,1,1,4.0,4.0,4,4,2,5,4.0,3,4,4,37,23.0,1
122561,123852,Male,Loyal Customer,41.0,Business travel,Business,3758,3,3,4,3,5.0,5.0,4,4,4,4,4.0,4,4,3,14,3.0,0
23949,24212,Male,Loyal Customer,54.0,Business travel,Eco,147,4,2,2,2,4.0,4.0,4,4,1,4,4.0,3,4,4,0,0.0,1
119699,120973,Female,Loyal Customer,21.0,Business travel,Business,3735,2,5,5,5,2.0,3.0,2,2,2,4,4.0,4,3,2,0,7.0,1
65721,66967,Female,Loyal Customer,48.0,Business travel,Business,2102,4,4,4,4,2.0,4.0,4,4,4,4,4.0,5,4,5,0,0.0,0
87502,88755,Male,Loyal Customer,23.0,Personal Travel,Eco,240,4,1,4,2,4.0,4.0,2,4,1,3,3.0,3,2,4,0,0.0,1
117154,118407,Female,disloyal Customer,36.0,Business travel,Business,370,1,1,1,4,4.0,1.0,4,4,5,5,4.0,5,4,4,12,16.0,1
31585,31902,Male,Loyal Customer,33.0,Business travel,Business,3918,4,4,4,4,5.0,5.0,4,5,5,2,5.0,3,4,5,0,0.0,0
49533,50611,Female,Loyal Customer,67.0,Personal Travel,Eco,134,2,2,2,3,3.0,4.0,4,4,4,2,4.0,3,4,3,7,8.0,1
82774,84027,Female,Loyal Customer,24.0,Business travel,Eco Plus,373,3,2,2,2,3.0,3.0,2,3,2,1,4.0,1,4,3,3,8.0,1
84248,85501,Male,Loyal Customer,60.0,Personal Travel,Eco,332,1,4,1,5,3.0,1.0,3,3,5,5,4.0,4,4,3,0,0.0,1
68501,69747,Male,Loyal Customer,37.0,Business travel,Business,1610,2,5,5,5,2.0,3.0,4,2,2,2,2.0,3,2,4,0,0.0,1
84927,86180,Female,disloyal Customer,37.0,Business travel,Business,377,4,4,4,4,2.0,4.0,2,2,3,2,5.0,3,4,2,0,0.0,1
65784,67030,Male,Loyal Customer,39.0,Business travel,Business,929,2,2,5,2,4.0,5.0,5,4,4,4,4.0,4,4,4,40,30.0,0
35581,36171,Female,disloyal Customer,33.0,Business travel,Eco,1149,1,1,1,3,4.0,1.0,4,4,1,4,3.0,1,4,4,8,12.0,1
91424,92677,Female,Loyal Customer,34.0,Business travel,Business,3290,4,4,4,4,3.0,4.0,4,3,3,3,3.0,4,3,5,0,0.0,0
93052,94305,Female,Loyal Customer,58.0,Business travel,Business,248,5,5,5,5,4.0,5.0,4,5,5,5,5.0,5,5,4,0,0.0,0
77054,78301,Female,Loyal Customer,26.0,Personal Travel,Eco,1598,4,4,4,2,5.0,4.0,5,5,3,4,3.0,4,4,5,0,0.0,0
94273,95526,Female,Loyal Customer,20.0,Personal Travel,Eco Plus,239,1,2,1,4,5.0,1.0,5,5,1,3,3.0,3,4,5,0,0.0,1
87840,89093,Female,Loyal Customer,29.0,Business travel,Business,1947,4,4,4,4,5.0,5.0,5,5,5,4,5.0,3,5,5,4,0.0,0
31736,32089,Male,disloyal Customer,40.0,Business travel,Eco,102,3,0,3,1,3.0,3.0,3,3,5,2,1.0,2,4,3,14,13.0,1
64860,66106,Male,Loyal Customer,49.0,Business travel,Business,3553,2,2,2,2,4.0,5.0,4,4,4,4,4.0,4,4,5,0,0.0,0
